,Authors,ISBN,ISBN-13,Language,Publisher,Title,Year
999,Warren G. Bennis,0787955671,9780787955670,,Jossey-Bass,The future of leadership: today's top leadership thinkers speak to tomorrow's leaders,2001
1000,Thomas G. Cummings,0787955671,9780787955670,,Jossey-Bass,The future of leadership: today's top leadership thinkers speak to tomorrow's leaders,2001
1001,Gretchen M. Spreitzer,0787955671,9780787955670,,Jossey-Bass,The future of leadership: today's top leadership thinkers speak to tomorrow's leaders,2001
1002,Warren G. Bennis,0787955671,9780787955670,,Jossey-Bass,The future of leadership: today's top leadership thinkers speak to tomorrow's leaders,2001
1003,Martha Nibley Beck,0425174484,9780425174487,en,Berkley Publishing Group,"Expecting Adam: A True Story Of Birth, Rebirth, And Everyday Magic",2000
1004,Desmond Tutu,0385496907,9780385496902,en,Image,No Future Without Forgiveness,2000
1005,"Martin Luther King, Jr",0446523992,9780446523998,en,Hachette Book Group,"A Call To Conscience: The Landmark Speeches Of Dr. Martin Luther King, Jr",2001
1006,Martin Luther King (Jr,0446523992,9780446523998,en,Hachette Book Group,"A Call To Conscience: The Landmark Speeches Of Dr. Martin Luther King, Jr",2001
1007,Jack Kerouac,0140185216,9780140185218,,Penguin Books,On the road,1991
1008,Martin Buber,0684717255,9780684717258,en,Free Press,I And Thou,1971
1009,Niccolò Machiavelli,0486272745,9780486272740,en,Courier Corporation,The Prince And The Discourses,1992
1010,"Bettin, Gianfranco",8807120194,9788807120190,,Feltrinelli,"Sarajevo, Maybe",1994
1011,Paul Monette,0062507249,9780062507242,,HarperSanFrancisco,Becoming a man: half a life story,1993
1012,Ernest Hemingway,0684801221,9780684801223,,Simon & Schuster,The old man and the sea,1995
1013,Melody Carlson,1576737357,9781576737354,,Multnomah Publishers,Becoming me: a novel,2000
1014,Alisa Kwitney,0060083298,9780060083298,en,Harper Collins,The Dominant Blonde,2002
1015,Billie Letts,0446672211,9780446672214,,,Where the heart is,
1016,Melissa Bank,0140293248,9780140293241,,Penguin Books,The girls' guide to hunting and fishing,2000
1017,Rena Kornreich Gelissen,0807070718,9780807070710,,Beacon Press,Rena's promise: a story of sisters in Auschwitz,1996
1018,Heather Dune Macadam,0807070718,9780807070710,,Beacon Press,Rena's promise: a story of sisters in Auschwitz,1996
1019,Moon Unit Zappa,0743213831,9780743213837,,Scribner Paperback Fiction,America the beautiful: a novel,2001
1020,Ted Mooney,0345305477,9780345305473,,,Easy travel to other planets,
1021,Adele Ashworth,0061080519,9780061080517,,HarperPrism,The maiden of Ireland,1993
1022,Gwyn Hyman Rubio,0142000205,9780142000205,,Penguin Books,Icy Sparks,1999
1023,Elisabeth Robinson,0316735027,9780316735025,en,Little Brown,The True And Outstanding Adventures Of The Hunt Sisters: A Novel,2004
1024,Audrey Niffenegger,193156146X,9781931561464,en,Macadam Cage Pub,The Time Traveler's Wife,2003
1025,Anita Shreve,015600710X,9780156007108,,Harvest Books,Strange fits of passion,1999
1026,Tim Farrington,0062517856,9780062517852,,HarperSanFrancisco,The monk downstairs,2002
1027,Mark Salzman,0679767789,9780679767787,,Vintage,Lost in place: growing up absurd in suburbia,1995
1028,Chaim Potok,0449911683,9780449911686,,Fawcett Columbine,My name is Asher Lev,1996
1029,Scott Spencer,0425169626,9780425169629,en,Berkley Trade,Waking The Dead,2000
1030,Chaim Potok,0449207757,9780449207758,en,Fawcett Books,Davita's Harp,1986
1031,Chaim Potok,0449245691,9780449245699,en,Fawcett Books,The Book Of Lights,1982
1032,V. S. Naipaul,0140029400,9780140029406,,Penguin Books,The mimic men,1969
1033,V. S. Naipaul,0140021566,9780140021561,,Penguin Books,The mystic masseur: a novel,1964
1034,Jean Giono,2253004022,9782253004028,,Librairie Générale Française,"Regain, roman",1987
1035,Alain-Fournier,2253005274,9782253005278,,Fayard,The wanderer,1971
1036,Erich Maria Remarque,225300670X,9782253006701,,Livre de Poche,All quiet on the western front,2009
1037,Roy Lewis,2266084372,9782266084376,,Pocket,Pourquoi j'ai mangé mon père,2000
1038,Barjavel,2070362388,9782070362387,,Gallimard French,"Ashes, ashes",1972
1039,Alexandra David-Néel,2266029460,9782266029469,,Pocket,My journey to Lhasa,1989
1040,Charles Baudelaire,2253007102,9782253007104,,Livre de Poche,The flowers of evil,1972
1041,Ray Bradbury,2070417743,9782070417742,fr,Editions Gallimard,The Martian chronicles,2001
1042,Radiguet,2266033689,9782266033688,,Presses Pocket French,Le diable au corps,
1043,Émile Zola,2070384349,9782070384341,,Gallimard,The sin of Father Mouret,1991
1044,Jean Giono,207053880X,9782070538805,,Gallimard,The man who planted trees,2002
1045,Pergaud,2070334368,9782070334360,,Livre de Poche,The war of the buttons,
1046,Jean-Pierre Guéno,2290314951,9782290314951,,J'ai lu,"Paroles de poilus: lettres et carnets du Front, 1914-1918",2001
1047,Jean-Pierre Guéno,2290314951,9782290314951,,J'ai lu,"Paroles de poilus: lettres et carnets du Front, 1914-1918",2001
1048,Yves Laplume,2290314951,9782290314951,,J'ai lu,"Paroles de poilus: lettres et carnets du Front, 1914-1918",2001
1049,Robert A. Heinlein,229000510X,9782290005101,,J'ai lu,Une porte sur l'éte,1999
1050,Sten Nadolny,3492207006,9783492207003,,Piper,The discovery of slowness: a novel,2001
1051,Cheryl Benard,3499177757,9783499177750,de,,Die Grenzen des Geschlechts: Anleitungen zum Sturz des internationalen Patriarchats: Amnesty for Women,1984
1052,Edit Schlaffer,3499177757,9783499177750,de,,Die Grenzen des Geschlechts: Anleitungen zum Sturz des internationalen Patriarchats: Amnesty for Women,1984
1053,Christa Wichterich,3889774016,9783889774019,de,,Frauen der Welt: vom Fortschritt der Ungleichheit,1995
1054,John. Blofeld,3502670005,9783502670001,,O. W. Barth Bei Scherz,I ching: the book of change ; a new translation of the ancient Chinese text with detailed instructions for its practical use in divination,1999
1055,Christine Obbo,0905762487,9780905762487,en,,African Women: Their Struggle For Economic Independence,1980
1056,Christa Wichterich,3499222604,9783499222603,de,Rowohlt Taschenbuch Verlag GmbH,Die globalisierte Frau: Berichte aus der Zukunft der Ungleichheit,1998
1057,Peter B. Heim,3746670055,9783746670058,,Aufbau Taschenbuch Verlag,"Women are the Niggers of the World: über Frauen, Herrenmenschen und Nietzsches Peitsche",1994
1058,Jane Austen,0140620427,9780140620429,en,"Penguin Books, Limited (UK)",Sense And Sensibility,1994
1059,Hera Lind,3596144434,9783596144433,de,,Der gemietete Mann: Roman,1999
1060,Arundhati Roy,3442724686,9783442724680,,Wilhelm Goldmann Verlag GmbH,The god of small things,1999
1061,Dan Brown,0385504209,9780385504201,en,Random House LLC,The Da Vinci Code: A Novel,2003
1062,Nicholas Sparks,0446525502,9780446525503,en,Grand Central Pub,The Rescue,2000
1063,Jane Hamilton,0385500769,9780385500760,,Doubleday,A map of the world,1999
1064,Jack Higgins,0399147012,9780399147012,en,Penguin,Edge Of Danger,2001
1065,Helen Fielding,0670892963,9780670892969,en,Viking Press,Bridget Jones: The Edge Of Reason,1999
1066,A. Manette Ansay,0688180639,9780688180638,,Morrow,Vinegar Hill,1994
1067,Anita Shreve,0316789089,9780316789080,en,Macmillan,The Pilot's Wife: A Novel,1998
1068,Max Allan Collins,0451197275,9780451197276,,Signet,Saving Private Ryan,1998
1069,Dave Barry,0425184129,9780425184127,,Berkley,Big trouble,2002
1070,David Guterson,0151001006,9780151001002,,Harcourt Brace,Snow falling on cedars,1994
1071,John Grisham,0385505833,9780385505833,en,Doubleday Books,Skipping Christmas,2001
1072,Bernhard Schlink,0679442790,9780679442790,,Pantheon Books,The reader,1997
1073,Eric Jerome Dickey,0525943862,9780525943860,,Dutton,Cheaters,1999
1074,Kristin Hannah,0609605925,9780609605929,,Crown Publishers,Angel Falls,2000
1075,Patricia Gaffney,0060191929,9780060191924,,HarperCollinsPublishers,The saving graces: a novel,1999
1076,Mary Higgins Clark,0743206045,9780743206044,en,Simon and Schuster,Daddy's Little Girl,2002
1077,Barbara Delinsky,0684864843,9780684864846,,Simon & Schuster,The vineyard: a novel,2000
1078,Richard Paul Evans,0684867818,9780684867816,en,Simon and Schuster,The Looking Glass: A Novel,1999
1079,"Levy, Marc",0743406176,9780743406178,,Pocket Books,If only it were true,2000
1080,Laney Katz Becker,0380978539,9780380978533,,William Morrow,"Dear stranger, dearest friend",2000
1081,John Irving,0679603352,9780679603351,en,"Random House Digital, Inc.",The Cider House Rules: A Novel,1985
1082,Vladimir Nabokov,0679410430,9780679410430,,Knopf,Lolita,1992
1083,Nicholas Sparks,0446523569,9780446523561,,Warner Books,Message in a bottle,1998
1084,Jennifer Lauck,0671042556,9780671042554,,Pocket Books,Blackbird: a childhood lost and found,2000
1085,Richard North Patterson,0679450440,9780679450443,en,Alfred A. Knopf,Protect And Defend: A Novel,2000
1086,Joe Keenan,0140107649,9780140107647,,Penguin Books,Blue heaven,1988
1087,Jeanne Ray,0609606727,9780609606728,,Harmony Books,Julie and Romeo: a novel,2000
1088,Nicholas Sparks,0446527793,9780446527798,en,Grand Central Pub,The Guardian,2003
1089,Nicholas Sparks,0446531332,9780446531337,en,Grand Central Pub,Nights In Rodanthe,2002
1090,Tony Parsons,1570717257,9781570717253,,Sourcebooks Landmark,Man and boy,2001
1091,Jane McCafferty,0060192631,9780060192631,en,Harper,Tao Te Ching,1999
1092,Laura Esquivel,0385420161,9780385420167,en,Doubleday Books,"Like Water For Chocolate: A Novel In Monthly Installments, With Recipes, Romances, And Home Remedies",1992
1093,J. R. R. Tolkien,0345339711,9780345339713,,"Ballantine Books, a division of Random House, Inc.",The return of the king: being the third part of The lord of the rings,1991
1094,Venise T. Berry,052594463X,9780525944638,,Dutton,All of me: a voluptuous tale,2000
1095,Sebastian Junger,039304016X,9780393040166,,Norton,The perfect storm: a true story of men against the sea,1997
1096,Nora Roberts,0399147128,9780399147128,en,Penguin,The Villa,2001
1097,Jan Karon,0670031046,9780670031047,en,Viking Press,In This Mountain,2002
1098,Cormac McCarthy,0394574745,9780394574745,,Knopf,All the pretty horses,1992
1099,James Patterson,0316969443,9780316969444,en,"Little, Brown",Suzanne's Diary For Nicholas: A Novel,2001
1100,Mary Higgins Clark,0743230051,9780743230056,,Simon & Schuster,He sees you when you're sleeping,2001
1101,James Patterson,0316693200,9780316693202,,"Little, Brown and Company",2nd chance: a novel,2002
1102,Richard Paul Evans,0684868911,9780684868912,,Simon & Schuster,The carousel: a novel,2000
1103,Travis Thrasher,0842336214,9780842336215,,Tyndale House Publishers,The promise remains: a novella,2000
1104,John McEnroe,0399148582,9780399148583,en,Putnam Adult,You Cannot Be Serious,2002
1105,James Kaplan,0399148582,9780399148583,en,Putnam Adult,You Cannot Be Serious,2002
1106,Barbara Delinsky,0684864320,9780684864327,,Simon & Schuster,Lake news: a novel,1999
1107,Eric Jerome Dickey,0525944834,9780525944836,,Dutton,Liar's game,2000
1108,Sally Mandel,0345428900,9780345428905,en,,Out Of The Blue,2000
1109,Linda Lay Shuler,0451176812,9780451176813,,Signet,Voice of the eagle,1993
1110,Paul Theroux,0671525794,9780671525798,,Washington Square Press,The kingdom by the sea: a journey around Great Britain,1984
1111,Dick Francis,0718144538,9780718144531,,Michael Joseph,Shattered,2000
1112,Janet Dailey,0446602086,9780446602082,en,Vision,The Proud And The Free: A Novel,1994
1113,Claude Lanzmann,0394551427,9780394551425,,Pantheon Books,Shoah: an oral history of the Holocaust: the complete text of the film,1985
1114,Lemony Snicket,0064407667,9780064407663,,HarperCollins Publishers,The Bad Beginning,1999
1115,Matthew Thomas,0007100221,9780007100224,,Harpercollins Pub Ltd,Terror firma,2001
1116,Boris Vian,2253148539,9782253148531,,LGF,"Le loup-garou, suivi de douze autres nouvelles",1999
1117,Noël Arnaud,2253148539,9782253148531,,LGF,"Le loup-garou, suivi de douze autres nouvelles",1999
1118,Gabriel García Márquez,2253043974,9782253043973,fr,LGF/Le Livre de Poche,Chronicle of a death foretold,2001
1119,Luis Sepúlveda,2020315491,9782020315494,,Métailé,Full circle: a South American journey,1996
1120,Hubert Selby,0747549923,9780747549925,,Bloomsbury Publishing,Last exit to Brooklyn,2000
1121,George W. Bush,0743462335,9780743462334,,Pocket Books,More George W. Bushisms,2002
1122,David Lodge,0140253580,9780140253580,,Penguin Putnam~trade,Therapy: a novel,1998
1123,Lily Seafield,0947782141,9780947782146,en,,Scottish Ghosts,1999
1124,Philip Ardagh,057120354X,9780571203543,en,,A House Called Awful End,2000
1125,Iain M. Banks,0349101779,9780349101774,,Abacus,The wasp factory: a novel,1992
1126,Jacob Weisberg,0743222229,9780743222228,en,Touchstone,George W. Bushisms: The Slate Book Of The Accidental Wit And Wisdom Of Our Forty-Third President,2001
1127,David Crombie,185479549X,9781854795496,,Michael O'Mara Books Ltd.,The world's stupidest laws,2000
1128,John Steinbeck,0140292918,9780140292916,,Penguin Books Ltd,Of mice and men,2001
1129,Michael O'Mara,1854795554,9781854795557,en,,The World's Stupidest Signs,2000
1130,Richard Brassey,1858813093,9781858813097,en,Dolphin,Nessie The Loch Ness Monster,1996
1131,William Vance,2871290911,9782871290919,,Dargaud,The XIII mystery,1999
1132,R. W. Holder,0198604025,9780198604020,en,"Oxford University Press, USA",How Not To Say What You Mean: A Dictionary Of Euphemisms,2002
1133,From the Editors of Southwater,1842151053,9781842151051,,Southwater,Cooking for one,2000
1134,Bernard Werber,2253063339,9782253063339,,Albin Michel,Les Fourmis roman,1991
1135,Andy Sloss,1860198597,9781860198595,en,,How To Draw Celtic Knotwork: A Practical Handbook,1998
1136,Allan Zola Kronzek,0767908473,9780767908474,en,Broadway,The Sorcerer's Companion: A Guide To The Magical World Of Harry Potter,2001
1137,Elizabeth Kronzek,0767908473,9780767908474,en,Broadway,The Sorcerer's Companion: A Guide To The Magical World Of Harry Potter,2001
1138,Charles L. Squire,1842040154,9781842040157,,Lomond Books,Celtic myths and legends,2000
1139,Gordon Jarvie,0140622063,9780140622065,en,,Scottish Folk And Fairy Tales: From Burns To Buchan,1997
1140,Philip Ardagh,0571209521,9780571209521,en,Eddie Dickens Trilogy,Terrible Times,2002
1141,Boris Vian,2264009306,9782264009302,,Union générale d'éditions,Cantilènes en gelée. Barnum's digest. Vingt poèmes inédits,1978
1142,Alan Spence,1841952931,9781841952932,,Canongate,Glasgow Zen,2002
1143,Helene Siegel,0890877564,9780890877562,en,Springer Science & Business,Totally Muffins Cookbook,1995
1144,Karen Gillingham,0890877564,9780890877562,en,Springer Science & Business,Totally Muffins Cookbook,1995
1145,A. A. Milne,1405200677,9781405200677,en,,Tigger's Little Book Of Diet And Exercise,2002
1146,A. A. Milne,0416196772,9780416196771,,Methuen,Eeyore's little book of gloom,1999
1147,Eric Thompson,0747538069,9780747538066,,,The adventures of Dougal,
1148,Elizabeth Strout,0375501347,9780375501340,en,Random House Incorporated,Amy And Isabelle: A Novel,1998
1149,Russell Banks,0060927240,9780060927240,,Harper Perennial,Rule of the bone: a novel,1996
1150,David Sedaris,0316776963,9780316776967,,"Little, Brown and Company",Me talk pretty one day,2000
1151,Leslie Feinberg,156341029X,9781563410291,,Firebrand Books,Stone butch blues: a novel,1993
1152,Neil Gaiman,0060934719,9780060934712,,Perennial,Stardust,2001
1153,Chris Anne Wolfe,1886383421,9781886383425,,Windstorm Creative,Fires of Aggar (The Amazons of Aggar),2001
1154,Lauren Sanders,1888451084,9781888451085,,Akashic Books,Kamikaze lust,2000
1155,Gael Baudino,0451450256,9780451450258,en,New Amer Library,Gossamer Axe,1990
1156,Lauren Maddison,1555835953,9781555835958,,Alyson Books,Witchfire: a Connor Hawthorne mystery,2001
1157,Carol Anshaw,0395877563,9780395877562,,,Seven moves,
1158,Jean Stewart,0962893862,9780962893865,en,Rising Tide Press (AZ),Return To Isis,1992
1159,Emma Donoghue,1555834531,9781555834531,en,Alyson Books,Hood,1998
1160,Deborah E. McDowell,0393318435,9780393318432,en,W. W. Norton,Leaving Pipe Shop: Memories Of Kin,1998
1161,Karen X. Tulchinsky,0889740828,9780889740822,en,Raincoast Books,Love Ruins Everything: A Novel,1998
1162,Dorothy Allison,1563410443,9781563410444,,Firebrand Books,"Skin: talking about sex, class &amp;amp; literature",1994
1163,Jill Thompson,1563899388,9781563899386,,Vertigo,Death,2003
1164,Jody Seay,1563411148,9781563411144,,Firebrand Books,The second coming of Curly Red: a novel,1999
1165,Manda Scott,0553579681,9780553579680,,Bantam,Night mares,1999
1166,Manda Scott,0553579673,9780553579673,,Bantam Books,Hen's teeth,1999
1167,Dean Ray Koontz,0451181379,9780451181374,,,The door to December,
1168,Jeff Foxworthy,0786889160,9780786889167,,Hyperion,No shirt. No shoes-- no problem!,1997
1169,Terry Brooks,0345370740,9780345370747,,Ballantine,The scions of Shannara,1991
1170,A. C. Crispin,0553574175,9780553574173,,Ballentine Books,Rebel dawn,1998
1171,A. C. Crispin,0553574167,9780553574166,en,Spectra,The Hutt Gambit,1997
1172,A. C. Crispin,0553574159,9780553574159,,Spectra,The paradise snare,1997
1173,A. C. Crispin,0553574159,9780553574159,,Spectra,The paradise snare,1997
1174,Madelyn Arnold,0312287240,9780312287245,en,Macmillan,A Year Of Full Moons,2002
